contract_version	action_source	iteration	phase	interval_step	interval_size	world_size	envs_per_rank	sample_ratio	lr	grad_norm	total_loss	nav_loss	fe_loss	calibrate_loss	safe_loss	mi_loss	kl_micro_mean	nll_macro_mean	u_t_raw_mean	u_tilde_mean	recon_sq_error_mean	sigma_mean	sigma_hit_low_rate	sigma_hit_high_rate	gate_mean	gate_p90	lambda_hat_mean	delta_abs_max	kl_corrected_vs_base	teacher_margin_delta	base_error_rate	gate_tp_rate	gate_fp_rate	surprise_auc_base_error	mi_proxy	progress_mean	score_before_mean	score_after_mean	total_actions	total_topo_updates	topo_update_ratio	train_step_sec	rollout_sec	backward_sec	optimizer_sec	lang_sec	waypoint_sec	panorama_sec	graph_identify_sec	cand_real_pos_sec	graph_update_sec	navigation_sec	statenav_sec	env_step_sec	batch_prep_sec
v3-theory	corrected	1	main	1	200	1	8	0.750000	1.000000e-04	271.349182	621.932556	0.387279	621.179138	0.364530	2.547572e-06	0.165373	8.384824	612.794293	65.471849	-5.102629	174.858812	0.702286	0.000000	0.003112	0.126928	0.126928	0.126928	0.374342	2.547572e-06	-0.008431	0.118644	0.000000	0.000000	0.481385	-0.165373	0.675823	-4.512053	-4.476300	59.000000	59.000000	1.000000	31.774081	31.450904	0.239139	1.688361e-04	0.322200	1.316335	0.420039	0.035455	20.865757	0.059588	0.229588	0.120038	6.773035	0.253050
v3-theory	corrected	2	main	2	200	1	8	0.750000	1.000000e-04	343.022461	628.875061	0.686725	627.679810	0.505567	7.999286e-06	0.296716	8.835357	618.844553	66.302119	-4.272350	180.119408	0.702470	0.000000	0.003300	0.126928	0.126928	0.126928	0.263406	7.999286e-06	-0.006653	0.191781	0.000000	0.000000	0.621111	-0.296716	0.660417	-4.547777	-4.524223	73.000000	73.000000	1.000000	51.525980	51.404284	0.118965	1.402319e-04	0.008547	0.905225	0.279066	0.065440	31.590122	0.087224	0.329415	0.099563	17.219236	0.133296
v3-theory	corrected	3	main	3	200	1	8	0.750000	1.000000e-04	384.733368	632.612427	0.667282	631.310791	0.631611	6.871682e-06	0.272488	8.894461	622.416350	66.688860	-3.885612	182.558119	0.703224	0.000000	0.003144	0.126928	0.126928	0.126928	0.320935	6.871682e-06	-0.005002	0.257143	0.000000	0.000000	0.625952	-0.272488	0.674602	-4.291228	-4.261115	70.000000	70.000000	1.000000	39.560976	39.436020	0.121512	1.168409e-04	0.008568	0.808937	0.310499	0.054449	25.493200	0.106408	0.441063	0.122306	11.219151	0.088525
v3-theory	corrected	4	main	4	200	1	8	0.750000	1.000000e-04	395.796722	627.589294	0.469527	626.686707	0.430354	6.605422e-06	0.266251	8.772063	617.914768	66.177511	-4.396974	178.985474	0.703035	0.000000	0.003581	0.126928	0.126928	0.126928	0.343864	6.605422e-06	-0.009998	0.152778	0.000000	0.000000	0.446349	-0.266251	0.686957	-4.461390	-4.428719	72.000000	72.000000	1.000000	44.813758	44.684985	0.125706	1.266879e-04	0.008656	0.593551	0.202685	0.041784	32.879661	0.091759	0.386539	0.099826	9.640621	0.087349
v3-theory	corrected	5	main	5	200	1	8	0.750000	1.000000e-04	385.538269	631.101440	0.343398	630.438538	0.317662	4.750200e-06	0.181022	8.522434	621.916126	66.452826	-4.121647	182.429595	0.702080	0.000000	0.003882	0.126928	0.126928	0.126928	0.307661	4.750200e-06	-0.008809	0.094340	0.000000	0.000000	0.536364	-0.181022	0.657365	-4.175947	-4.147978	53.000000	53.000000	1.000000	34.411151	34.306383	0.100863	1.340500e-04	0.019317	0.535579	0.142255	0.046578	21.090545	0.065813	0.221614	0.068876	11.479708	0.057524
v3-theory	corrected	6	main	6	200	1	8	0.750000	1.000000e-04	389.373779	632.990601	0.395572	632.284607	0.307916	4.636084e-06	0.249002	8.519250	623.765416	66.636165	-3.938313	184.958043	0.703147	0.000000	0.003185	0.126928	0.126928	0.126928	0.274981	4.636084e-06	-0.008816	0.089286	0.000000	0.000000	0.440000	-0.249002	0.655055	-4.421249	-4.398443	56.000000	56.000000	1.000000	26.571164	26.320915	0.243207	0.001189	0.011292	0.520341	0.212280	0.054779	16.765741	0.061975	0.224777	0.064519	7.682733	0.056015
v3-theory	corrected	7	main	7	200	1	8	0.750000	1.000000e-04	402.183350	630.855835	0.449638	629.936584	0.468220	7.347232e-06	0.137963	8.568832	621.367726	66.421193	-4.153286	182.537295	0.702425	0.000000	0.003121	0.126928	0.126928	0.126928	0.319039	7.347232e-06	-0.007288	0.172414	0.000000	0.000000	0.655423	-0.137963	0.677625	-4.179418	-4.150489	58.000000	58.000000	1.000000	33.683840	33.606100	0.074344	1.288491e-04	0.012669	0.564122	0.143858	0.034661	21.940392	0.054978	0.189351	0.054471	9.896468	0.052656
v3-theory	corrected	8	main	8	200	1	8	0.750000	1.000000e-04	382.958099	628.659973	0.592125	627.465881	0.600411	6.990670e-06	0.160962	8.860149	618.605798	66.290651	-4.283830	178.869635	0.703609	0.000000	0.003545	0.126928	0.126928	0.126928	0.327845	6.990670e-06	-0.006694	0.240964	0.000000	0.000000	0.391111	-0.160962	0.683182	-4.596269	-4.565031	83.000000	83.000000	1.000000	71.953239	71.642974	0.306318	0.001487	0.012028	1.019681	0.555252	0.052435	42.151347	0.126137	0.521824	0.104845	25.985752	0.226419
v3-theory	corrected	9	main	9	200	1	8	0.750000	1.000000e-04	397.300842	628.237244	0.605062	627.123718	0.506583	5.818805e-06	0.188323	8.419135	618.704590	66.080022	-4.494458	179.818923	0.702461	0.000000	0.003405	0.126928	0.126928	0.126928	0.296293	5.818805e-06	-0.007632	0.192308	0.000000	0.000000	0.577381	-0.188323	0.653010	-4.101228	-4.075794	52.000000	52.000000	1.000000	34.416200	34.316110	0.096092	1.269450e-04	0.007770	0.628892	0.248940	0.027186	20.422969	0.057073	0.228644	0.076985	11.916301	0.055203
v3-theory	corrected	10	main	10	200	1	8	0.750000	1.000000e-04	397.486511	625.182434	0.481134	624.228943	0.469498	4.811666e-06	0.286892	8.398624	615.830341	65.782344	-4.792135	177.163649	0.702750	0.000000	0.003831	0.126928	0.126928	0.126928	0.340494	4.811666e-06	-0.007615	0.173077	0.000000	0.000000	0.486111	-0.286892	0.661903	-4.078124	-4.045204	52.000000	52.000000	1.000000	28.774049	28.538737	0.231146	0.001443	0.011407	0.773966	0.421785	0.026194	19.480891	0.044812	0.154533	0.053794	6.987411	0.047061
